zm(m), Length(m), R_wires(Ohms), R_strips(Ohms)
1.399999999999999856e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000122e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000211e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000300e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000389e-02,1.012862821066140562e-01,8.666226221005419658e-03,9.723483082234951613e-02
2.100000000000000477e-02,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
2.200000000000000566e-02,1.012862821066140562e-01,8.666226221005419658e-03,9.723483082234951613e-02
2.299999999999999267e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999356e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999445e-02,1.012862821066140562e-01,8.666226221005419658e-03,9.723483082234951613e-02
2.599999999999999534e-02,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
2.699999999999999623e-02,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
2.799999999999999711e-02,3.136604927571571277e-01,2.683732416956839326e-02,3.011140730468709337e-01
2.899999999999999800e-02,3.136604927571571277e-01,2.683732416956839326e-02,3.011140730468709337e-01
2.999999999999999889e-02,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
3.099999999999999978e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000067e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000155e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000244e-02,1.012862821066140562e-01,8.666226221005419658e-03,9.723483082234951613e-02
3.500000000000000333e-02,2.058397788492443425e-01,1.761200087205877854e-02,1.976061876952746044e-01
3.600000000000000422e-02,3.136604927571571277e-01,2.683732416956839326e-02,3.011140730468709337e-01
3.700000000000000511e-02,4.247484261363805302e-01,3.634219631084193575e-02,4.077584890909254356e-01
3.799999999999999212e-02,5.391035810952361507e-01,4.612661747627098963e-02,5.175394378514267535e-01
3.899999999999999301e-02,5.391035810952361507e-01,4.612661747627098963e-02,5.175394378514267535e-01
3.999999999999999389e-02,6.567259595663055283e-01,5.619058783121050338e-02,6.304569211836533738e-01
4.099999999999999478e-02,6.567259595663055283e-01,5.619058783121050338e-02,6.304569211836533738e-01
4.199999999999999567e-02,6.567259595663055283e-01,5.619058783121050338e-02,6.304569211836533738e-01
4.299999999999999656e-02,7.776155633254364652e-01,6.653410752760503810e-02,7.465109407924190865e-01
4.399999999999999745e-02,7.776155633254364652e-01,6.653410752760503810e-02,7.465109407924190865e-01
4.499999999999999833e-02,7.776155633254364652e-01,6.653410752760503810e-02,7.465109407924190865e-01
4.599999999999999922e-02,7.776155633254364652e-01,6.653410752760503810e-02,7.465109407924190865e-01
4.700000000000000011e-02,9.017723940082528200e-01,7.715717670540135631e-02,8.657014982479229737e-01
4.800000000000000100e-02,9.017723940082528200e-01,7.715717670540135631e-02,8.657014982479229737e-01
4.900000000000000189e-02,9.017723940082528200e-01,7.715717670540135631e-02,8.657014982479229737e-01
5.000000000000000278e-02,9.017723940082528200e-01,7.715717670540135631e-02,8.657014982479229737e-01
