z0 (m), H (A/m), H (Oe)
7.014925373134331399e-02,3.854285758550332957e+03,4.843438329558995292e+01
7.114427860696520556e-02,3.845728279923336231e+03,4.832684684763865590e+01
7.213930348258709713e-02,3.836388985033109293e+03,4.820948580677127637e+01
7.313432835820898870e-02,3.826175354489642814e+03,4.808113754004393314e+01
7.412935323383088027e-02,3.814981571571802306e+03,4.794047231532167075e+01
7.512437810945274408e-02,3.802686341550386715e+03,4.778596589808377360e+01
7.611940298507463565e-02,3.789150329272335966e+03,4.761586735115726299e+01
7.711442786069652722e-02,3.774213151745309005e+03,4.742816124242016684e+01
7.810945273631841879e-02,3.757689856408487231e+03,4.722052338944715189e+01
7.910447761194031036e-02,3.739366812331755682e+03,4.699026922679570362e+01
8.009950248756220192e-02,3.718996943390925935e+03,4.673429390431930841e+01
8.109452736318409349e-02,3.696294243779764656e+03,4.644900336705899235e+01
8.208955223880598506e-02,3.670927543737737324e+03,4.613023601306759502e+01
8.308457711442787663e-02,3.642513547378067869e+03,4.577317520417693686e+01
8.407960199004976820e-02,3.610609260377923420e+03,4.537225410954624039e+01
8.507462686567165977e-02,3.574704085355290317e+03,4.492105637323840028e+01
8.606965174129355134e-02,3.534212118070096494e+03,4.441221930542815244e+01
8.706467661691544291e-02,3.488465568874667042e+03,4.383735121391036671e+01
8.805970149253733448e-02,3.436710809429178880e+03,4.318698172566136151e+01
8.905472636815922605e-02,3.378109351391205564e+03,4.245057408541436672e+01
9.004975124378111762e-02,3.311747123315047247e+03,4.161664173261473820e+01
9.104477611940300918e-02,3.236656671788189215e+03,4.067302728912866172e+01
9.203980099502490075e-02,3.151858157784327886e+03,3.960741773460921422e+01
9.303482587064679232e-02,3.056425738895166432e+03,3.840817859022323688e+01
9.402985074626868389e-02,2.949585168532932130e+03,3.706558038640189068e+01
9.502487562189057546e-02,2.830844758818850096e+03,3.557344439103387401e+01
9.601990049751246703e-02,2.700153621805724015e+03,3.393113112731494141e+01
9.701492537313435860e-02,2.558067579992030915e+03,3.214562526675673837e+01
9.800995024875625017e-02,2.405886416780079344e+03,3.023326036931107197e+01
9.900497512437814174e-02,2.245713152073117726e+03,2.822046376249153710e+01
1.000000000000000333e-01,2.080387968070424449e+03,2.614292622842657110e+01
